Key,File,Line,Severity,Type,Rule,Message,Status
AZ_Qr4pss5KeDF11f9BX,frontend/src/components/shared/MobileSidebarWrapper.tsx,39,MAJOR,CODE_SMELL,typescript:S6848,"Avoid non-native interactive elements. If using native HTML is not possible, add an appropriate role and support for tabbing, mouse, keyboard, and touch inputs to an interactive content element.",OPEN
AZ_Qr4pss5KeDF11f9BY,frontend/src/components/shared/MobileSidebarWrapper.tsx,39,MINOR,BUG,typescript:S1082,"Visible, non-interactive elements with click handlers must have at least one keyboard listener.",OPEN
AZ_Qr4pss5KeDF11f9BZ,frontend/src/components/shared/MobileSidebarWrapper.tsx,52,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4sJs5KeDF11f9DP,frontend/src/app/(customer)/customer/support/page.tsx,222,MAJOR,CODE_SMELL,typescript:S3358,Extract this nested ternary operation into an independent statement.,OPEN
AZ_Qr4x1s5KeDF11f9Fa,frontend/src/app/(public)/partners/page.tsx,55,MAJOR,CODE_SMELL,typescript:S6535,Unnecessary escape character: \-.,OPEN
AZ_Qr4x1s5KeDF11f9Fd,frontend/src/app/(public)/partners/page.tsx,156,MAJOR,CODE_SMELL,typescript:S9011,"Add an explicit ""type"" attribute to this button.",OPEN
AZ_Qr4x1s5KeDF11f9Fe,frontend/src/app/(public)/partners/page.tsx,165,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4x1s5KeDF11f9Ff,frontend/src/app/(public)/partners/page.tsx,172,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4x1s5KeDF11f9Fg,frontend/src/app/(public)/partners/page.tsx,179,MAJOR,CODE_SMELL,typescript:S6853,A form label must be associated with a control.,OPEN
AZ_Qr4zPs5KeDF11f9GA,frontend/src/app/(public)/industries/consultation/page.tsx,46,MAJOR,CODE_SMELL,typescript:S6535,Unnecessary escape character: \-.,OPEN
